frame,detected,det_x,det_y,kf_x,kf_y,confidence
637,True,872,391,851,408,0.1607787311077118
638,True,876,385,853,404,0.22579282522201538
639,False,,,870,376,0.0
640,False,,,887,348,0.0
641,True,895,363,891,356,0.5407134294509888
642,True,901,358,894,353,0.5492129325866699
643,False,,,912,326,0.0
644,False,,,930,299,0.0
645,True,919,337,924,318,0.3759409189224243
646,True,923,333,926,316,0.45994070172309875
647,True,926,329,928,314,0.2992512583732605
648,False,,,945,289,0.0
649,False,,,963,265,0.0
650,False,,,981,240,0.0
651,True,947,311,961,281,0.2707403600215912
652,True,951,308,963,279,0.3709740936756134
653,False,,,978,261,0.0
654,False,,,993,242,0.0
655,False,,,1008,223,0.0
656,True,966,291,983,263,0.3342854976654053
657,True,968,290,984,263,0.5983786582946777
658,True,973,288,987,262,0.5242919921875
659,True,976,285,989,260,0.4862532615661621
660,False,,,1001,246,0.0
661,False,,,1013,233,0.0
662,False,,,1025,219,0.0
663,True,990,280,1004,255,0.16954024136066437
664,False,,,1013,247,0.0
665,False,,,1022,238,0.0
666,False,,,1031,230,0.0
667,False,,,1041,222,0.0
668,False,,,1050,213,0.0
669,False,,,1059,205,0.0
670,False,,,1068,197,0.0
671,False,,,1077,188,0.0
672,True,1016,269,1026,255,0.13659986853599548
673,False,,,1029,254,0.0
674,False,,,1033,253,0.0
675,True,1022,269,1026,262,0.12740325927734375
676,False,,,1029,262,0.0
677,False,,,1032,261,0.0
678,False,,,1035,261,0.0
679,False,,,1038,261,0.0
680,False,,,1041,261,0.0
681,False,,,1044,261,0.0
682,False,,,1047,260,0.0
683,False,,,1050,260,0.0
684,False,,,1053,260,0.0
685,False,,,1056,260,0.0
686,True,1043,280,1044,277,0.10942576825618744
687,False,,,1046,279,0.0
688,True,1045,268,1045,273,0.32371950149536133
689,True,1046,263,1046,270,0.6825588941574097
690,True,1047,259,1046,268,0.6629614233970642
691,False,,,1048,268,0.0
692,False,,,1050,269,0.0
693,False,,,1052,269,0.0
694,False,,,1054,269,0.0
695,False,,,1055,270,0.0
696,False,,,1057,270,0.0
697,False,,,1059,270,0.0
698,False,,,1061,270,0.0
699,False,,,1063,271,0.0
700,False,,,1065,271,0.0
701,False,,,1067,271,0.0
702,False,,,1068,272,0.0
703,False,,,1070,272,0.0
704,False,,,1072,272,0.0
705,False,,,1074,272,0.0
706,False,,,1076,273,0.0
707,False,,,1078,273,0.0
708,False,,,1080,273,0.0
709,False,,,1081,274,0.0
710,False,,,1083,274,0.0
711,False,,,1085,274,0.0
712,False,,,1087,274,0.0
713,False,,,1089,275,0.0
714,False,,,1091,275,0.0
715,False,,,1093,275,0.0
716,False,,,1094,276,0.0
717,False,,,1096,276,0.0
718,True,1067,208,1067,208,0.13461346924304962
719,True,1069,213,1069,213,0.5960766673088074
720,True,1071,218,1071,218,0.6235191822052002
721,True,1072,221,1072,221,0.42342013120651245
722,False,,,1073,219,0.0
723,False,,,1073,217,0.0
724,False,,,1074,215,0.0
725,False,,,1075,212,0.0
726,False,,,1075,210,0.0
727,True,1084,258,1081,246,0.40022870898246765
728,True,1087,265,1084,251,0.5077133774757385
729,True,1088,270,1084,255,0.19575205445289612
730,True,1090,281,1086,263,0.313203901052475
731,True,1093,290,1088,270,0.6511386036872864
732,False,,,1091,275,0.0
733,True,1095,309,1093,292,0.5942973494529724
734,True,1096,315,1093,295,0.10509197413921356
735,True,1099,328,1095,301,0.13937853276729584
736,True,1099,339,1095,307,0.10218110680580139
737,False,,,1097,316,0.0
738,False,,,1100,326,0.0
739,False,,,1103,336,0.0
740,True,1109,392,1106,368,0.1772313416004181
