frame,x,y,z,qw,qx,qy,qz,confidence,valid
155,10.077807335546828,-9.704879998229025,1.0,0.7057023113745899,0.7057023113749413,0.04454207813533215,0.04454207813528762,1.0,1
156,10.329076222610155,-11.457523181304694,1.0,0.7051345891084333,0.705134589108784,0.05277271873426346,0.05277271873421068,0.5,1
157,10.559922337010127,-13.038421415912604,1.0,0.7044154267048979,0.7044154267052474,0.06163322729092405,0.06163322729086241,0.5,1
158,10.555752749162275,-13.260680805952463,1.0,0.7032742127046737,0.7032742127050214,0.07351958251058147,0.07351958251050794,1.0,1
159,10.1735869749287,-11.280800390812763,1.0,0.7012241919971535,0.7012241919974983,0.09101856044771935,0.09101856044762834,1.0,1
160,9.411865583658019,-7.050731714865482,1.0,0.6975178044020931,0.6975178044024323,0.11605453727170166,0.11605453727158559,1.0,1
161,8.40551869780116,-1.3229014645655204,1.0,0.6915063569270238,0.6915063569273536,0.14771153280100163,0.14771153280085395,0.5,1
162,7.34692901376997,4.703791759878891,1.0,0.6794832179323274,0.6794832179326387,0.19570969778850358,0.19570969778830788,0.5,1
163,6.299384134100236,10.635010381349943,1.0,0.6507207744287892,0.6507207744290558,0.2766987143522064,0.27669871435192966,0.5,1
164,5.250043316262587,16.41948419962314,1.0,0.5887904695519754,0.5887904695521397,0.39156790266335845,0.39156790266296687,0.5,1
165,4.556226353203348,20.233498403050923,1.0,0.5514407236536768,0.5514407236537748,0.4426202856062558,0.4426202856058131,0.5,1
166,4.696166408096744,19.801756678481837,1.0,0.5830876007044272,0.5830876007045814,0.40001060267026645,0.4000106026698664,0.5,1
167,4.795807176800396,19.316897728120903,1.0,0.6052118628890265,0.6052118628892188,0.3656750740085536,0.3656750740081879,1.0,1
168,4.862593090997191,18.7655547067743,1.0,0.614814248339176,0.614814248339384,0.34928943492282055,0.3492894349224712,1.0,1
169,4.589450472272586,19.723583411600284,1.0,0.568382197650193,0.5683821976503216,0.4206438998343442,0.4206438998339236,0.5,1
170,4.63625187998507,19.03652836314189,1.0,0.5570178988723173,0.5570178988724255,0.43558082770039086,0.43558082769995526,1.0,1
171,,,,,,,,0.0,0
172,,,,,,,,0.0,0
173,,,,,,,,0.0,0
174,,,,,,,,0.0,0
175,,,,,,,,0.0,0
176,,,,,,,,0.0,0
177,,,,,,,,0.0,0
178,,,,,,,,0.0,0
179,,,,,,,,0.0,0
180,,,,,,,,0.0,0
181,,,,,,,,0.0,0
182,5.545376202884809,15.231210327097434,1.0,0.6369561849800265,0.636956184980271,0.30706108564356194,0.30706108564325485,1.0,1
183,5.87566549510414,12.823470477149279,1.0,0.6800528920137808,0.6800528920140932,0.19372091724238802,0.19372091724219428,1.0,1
184,5.457254329352493,13.284272738119023,1.0,0.6899609385544291,0.6899609385547568,0.15476963749281433,0.15476963749265954,1.0,1
185,,,,,,,,0.0,0
186,,,,,,,,0.0,0
187,,,,,,,,0.0,0
188,,,,,,,,0.0,0
189,,,,,,,,0.0,0
190,,,,,,,,0.0,0
191,,,,,,,,0.0,0
192,,,,,,,,0.0,0
193,,,,,,,,0.0,0
194,,,,,,,,0.0,0
195,,,,,,,,0.0,0
196,,,,,,,,0.0,0
197,,,,,,,,0.0,0
198,,,,,,,,0.0,0
199,,,,,,,,0.0,0
200,,,,,,,,0.0,0
201,,,,,,,,0.0,0
202,,,,,,,,0.0,0
203,,,,,,,,0.0,0
204,,,,,,,,0.0,0
205,,,,,,,,0.0,0
206,,,,,,,,0.0,0
207,,,,,,,,0.0,0
208,,,,,,,,0.0,0
209,,,,,,,,0.0,0
210,,,,,,,,0.0,0
211,,,,,,,,0.0,0
212,,,,,,,,0.0,0
213,,,,,,,,0.0,0
214,,,,,,,,0.0,0
215,,,,,,,,0.0,0
216,,,,,,,,0.0,0
217,4.4807015364058085,15.808764966730624,1.0,0.6833121327209359,0.6833121327212535,0.18189079570488312,0.1818907957047012,1.0,1
218,3.5989573070739675,17.420284868411713,1.0,0.6819876931909766,0.681987693191292,0.18679538961392023,0.18679538961373346,1.0,1
219,,,,,,,,0.0,0
220,,,,,,,,0.0,0
221,,,,,,,,0.0,0
222,,,,,,,,0.0,0
223,,,,,,,,0.0,0
224,,,,,,,,0.0,0
225,,,,,,,,0.0,0
226,,,,,,,,0.0,0
227,,,,,,,,0.0,0
228,,,,,,,,0.0,0
229,,,,,,,,0.0,0
230,,,,,,,,0.0,0
231,,,,,,,,0.0,0
232,3.0341143772134216,16.72613439993146,1.0,0.6911486895054089,0.6911486895057383,0.14937612699905523,0.14937612699890582,1.0,1
233,2.1476244144749175,18.58938466837972,1.0,0.6848652834335106,0.6848652834338305,0.17595248519472756,0.1759524851945516,1.0,1
234,1.3766948403357115,20.918170385266226,1.0,0.6643410890259073,0.6643410890261954,0.24217893015208616,0.24217893015184397,1.0,1
235,0.8080846388584896,23.462846935971115,1.0,0.5854707570368126,0.5854707570369712,0.3965143477676535,0.3965143477672569,1.0,1
236,0.6684661898591617,23.62598909725356,1.0,0.5775404455208505,0.5775404455209953,0.4079787482639532,0.40797874826354524,1.0,1
237,0.897446642986086,22.373297011491324,1.0,0.6080913290580056,0.6080913290582027,0.36086645380466165,0.3608664538043008,1.0,1
238,0.8710870794268903,22.361168073947635,1.0,0.6095016435539216,0.609501643554121,0.35847930208691586,0.3584793020865573,1.0,1
239,0.8805042368306367,22.45763704523208,1.0,0.6303444815676511,0.6303444815678849,0.3204146063476433,0.32041460634732283,1.0,1
240,0.856082119948843,22.463412009701518,1.0,0.6272958828193996,0.6272958828196283,0.32634269983606934,0.326342699835743,1.0,1
241,0.8313973724120745,22.468500593177055,1.0,0.6239067989003247,0.623906798900548,0.3327761787807985,0.33277617878046567,1.0,1
242,0.8113158329047084,22.483792525386516,1.0,0.6124638931894215,0.6124638931896258,0.35339446275498426,0.3533944627546309,1.0,1
243,0.7909696173798482,22.49828253199984,1.0,0.5905458527591286,0.5905458527592958,0.388915463000361,0.38891546299997204,1.0,1
244,0.7716636550892509,22.522223242523562,1.0,0.5623997226895678,0.5623997226896857,0.4286095620919349,0.4286095620915063,1.0,1
245,0.7514701473348402,22.548694884805943,1.0,0.5172624258347513,0.5172624258347854,0.4821193997715139,0.48211939977103174,1.0,1
246,0.7422122818948126,22.590686809071347,1.0,0.5212543427296599,0.5212543427297016,0.47780063847824544,0.4778006384777676,1.0,1
247,0.7332236800192536,22.650940561044365,1.0,0.506708792355824,0.5067087923558373,0.49319946563466704,0.49319946563417394,1.0,1
248,0.7291448072033302,22.71637443971515,1.0,0.49765639092331,0.4976563909238076,0.5023321821318735,0.5023321821318688,1.0,1
249,0.7333089933229558,22.79284815241413,1.0,0.5155958221027458,0.5155958221027767,0.4839013102085758,0.48390131020809185,1.0,1
250,0.7479908728187792,22.87729907767511,1.0,0.5618266967140256,0.5618266967141425,0.429360416026884,0.42936041602645464,1.0,1
251,0.6228390511963204,24.104865263458883,1.0,0.6289471760823353,0.6289471760825667,0.323148779515506,0.3231487795151829,0.5,1
252,0.8296768317175565,22.9702756260038,1.0,0.6958186503539918,0.6958186503543282,0.12584175635500458,0.12584175635487876,0.5,1
253,1.0577204570433616,21.78445061694541,1.0,0.7059299620763319,0.7059299620766836,0.04077545596089282,0.040775455960852046,0.5,1
254,1.1222224391492748,21.762780889011506,1.0,0.7057341912368402,0.7057341912371917,0.04403408164151243,0.04403408164146839,0.5,1
255,1.3515681343605868,20.505623531987435,1.0,0.7061567827218739,0.706156782722226,0.03663806139677366,0.036638061396737025,1.0,1
256,,,,,,,,0.0,0
257,,,,,,,,0.0,0
258,,,,,,,,0.0,0
259,,,,,,,,0.0,0
260,,,,,,,,0.0,0
261,,,,,,,,0.0,0
262,,,,,,,,0.0,0
