frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
282,1,968.2047781569966,148.52559726962457,-94.7999791977293,969.677501832057,166.063872127116,966.7320544819361,130.98732241213312,6.632354079052156
283,0,,,,,,,,
284,0,,,,,,,,
285,0,,,,,,,,
286,0,,,,,,,,
287,1,968.8196721311475,147.60245901639345,-95.24794099824001,970.3197117923465,163.93371374512847,967.3196324699485,131.27120428765843,11.207744632940525
288,1,968.8196721311475,147.60245901639345,-95.24794099824001,970.3197117923465,163.93371374512847,967.3196324699485,131.27120428765843,11.207744632940525
289,1,969.0041152263375,147.72016460905348,-95.00299066841981,970.4692052753775,164.45615908647264,967.5390251772975,130.98417013163433,11.984194510645228
290,1,969.0901639344262,147.74180327868854,-95.15264343792528,970.5989622418781,164.4739139544948,967.5813656269743,131.00969260288227,12.110317437586847
291,1,968.9959349593496,147.65447154471545,-95.6407961431703,970.6472322225702,164.3731203342702,967.344637696129,130.9358227551607,11.406360306388489
292,1,499.6005361930295,818.544235924933,-3.819457274723166,485.23251996720575,819.5034594309341,513.9685524188533,817.5850124189319,1.9811106324475998
293,1,500.86225895316807,820.1101928374655,-8.068996680207462,486.20878256673166,822.1876022319159,515.5157353396045,818.0327834430152,2.1677450808756915
294,1,504.34823529411767,819.6729411764705,-116.52951176250626,511.852101695797,834.7039753732831,496.84436889243835,804.641906979658,1.9796858891925255
295,1,966.4132231404959,146.38842975206612,-99.55136636956632,968.8690131376165,160.98326087442044,963.9574331433753,131.7935986297118,5.031106340104218
296,1,967.5131086142322,147.02621722846442,-97.02309802356578,969.4694200563824,162.90616828447565,965.556797172082,131.14626617245318,5.640718305004449
297,1,969.3849056603774,148.04150943396226,-93.02081105734467,970.2702434251022,164.81816515083122,968.4995678956526,131.2648537170933,10.083973048615423
298,1,969.5653594771242,149.1013071895425,-93.90780615543517,970.71029993359,165.86224723928757,968.4204190206583,132.34036713979742,8.478987027819823
299,1,966.4076655052265,148.14982578397212,-95.36665337246593,967.8293043587383,163.283197614803,964.9860266517147,133.01645395314125,4.2005961254664275
300,1,964.2164179104477,148.0634328358209,-98.14514652825862,966.1999558691641,161.92220540651888,962.2328799517313,134.2046602651229,3.178473860891985
301,1,963.3540856031128,147.8988326848249,-97.4942001700962,965.0757065779515,160.9860791950346,961.6324646282742,134.8115861746152,2.6395146636198175
302,1,962.0675675675676,148.32432432432432,-89.38030005352357,961.9377804447682,160.32362244141248,962.197354690367,136.32502620723616,3.073751524064897
303,1,963.1422594142259,148.77824267782427,-94.02610132778042,964.0128747092884,161.1476415721927,962.2716441191634,136.40884378345584,3.674457089569308
